text,author,id
"""You are mad, and gone the wrong way.",AC,dummy
"You would marvel if suddenly apple and orange trees should bear frogs and lizards instead of fruit, and if roses should begin to breathe the odour of a sweating horse.",AC,dummy
"So do I marvel at you, who have bartered heaven for earth.",AC,dummy
"""That I may show you in deed my contempt for that by which you live, I waive the two millions of which I once dreamed as of paradise, and which I now despise.",AC,dummy
"That I may deprive myself of my right to them, I shall come out from here five minutes before the stipulated term, and thus shall violate the agreement.""",AC,dummy
"When he had read, the banker put the sheet on the table, kissed the head of the strange man, and began to weep.",AC,dummy
"Never at any other time, not even after his terrible losses on the Exchange, had he felt such contempt for himself as now.",AC,dummy
"Coming home, he lay down on his bed, but agitation and tears kept him a long time from sleeping…  The next morning the poor watchman came running to him and told him that they had seen the man who lived in the wing climb through the window into the garden.",AC,dummy
"To avoid unnecessary rumours he took the paper with the renunciation from the table and, on his return, locked it in his safe.",AC,dummy
"IVAN DMITRITCH, a middle-class man who lived with his family on an income of twelve hundred a year and was very well satisfied with his lot, sat down on the sofa after supper and began reading the newspaper.",AC,dummy
"""I forgot to look at the newspaper today,"" his wife said to him as she cleared the table.",AC,dummy
"""Yes, it is,"" said Ivan Dmitritch; ""but hasn't your ticket lapsed?""",AC,dummy
"""Series 9,499, number 26.""",AC,dummy
"""All right... we will look... 9,499 and 26.""",AC,dummy
"Ivan Dmitritch had no faith in lottery luck, and would not, as a rule, have consented to look at the lists of winning numbers, but now, as he had nothing else to do and as the newspaper was before his eyes, he passed his finger downwards along the column of numbers.",AC,dummy
"And immediately, as though in mockery of his scepticism, no further than the second line from the top, his eye was caught by the figure 9,499!",AC,dummy
"Unable to believe his eyes, he hurriedly dropped the paper on his knees without looking to see the number of the ticket, and, just as though some one had given him a douche of cold water, he felt an agreeable chill in the pit of the stomach; tingling and terrible and sweet!",AC,dummy
"""Masha, 9,499 is there!""",AC,dummy
"His wife looked at his astonished and panic-stricken face, and realized that he was not joking.",AC,dummy
"""9,499?""",AC,dummy
"she asked, turning pale and dropping the folded tablecloth on the table.",AC,dummy
"""Yes, yes... it really is there!""",AC,dummy
"""Oh, yes!",AC,dummy
"No, I say!",AC,dummy
"Anyway, the number of our series is there!",AC,dummy
"Anyway, you understand....""  Looking at his wife, Ivan Dmitritch gave a broad, senseless smile, like a baby when a bright object is shown it.",AC,dummy
"His wife smiled too; it was as pleasant to her as to him that he only mentioned the series, and did not try to find out the number of the winning ticket.",AC,dummy
"To torment and tantalize oneself with hopes of possible fortune is so sweet, so thrilling!",AC,dummy
"""It is our series,"" said Ivan Dmitritch, after a long silence.",AC,dummy
"It's only a probability, but there it is!""",AC,dummy
"""Well, now look!""",AC,dummy
"It's on the second line from the top, so the prize is seventy-five thousand.",AC,dummy
"That's not money, but power, capital!",AC,dummy
"And in a minute I shall look at the list, and there—26!",AC,dummy
"I say, what if we really have won?""",AC,dummy
"The possibility of winning bewildered them; they could not have said, could not have dreamed, what they both needed that seventy-five thousand for, what they would buy, where they would go.",AC,dummy
"They thought only of the figures 9,499 and 75,000 and pictured them in their imagination, while somehow they could not think of the happiness itself which was so possible.",AC,dummy
"Ivan Dmitritch, holding the paper in his hand, walked several times from corner to corner, and only when he had recovered from the first impression began dreaming a little.",AC,dummy
"""And if we have won,"" he said—""why, it will be a new life, it will be a transformation!",AC,dummy
"The ticket is yours, but if it were mine I should, first of all, of course, spend twenty-five thousand on real property in the shape of an estate; ten thousand on immediate expenses, new furnishing... travelling... paying debts, and so on....",AC,dummy
"""Yes, an estate, that would be nice,"" said his wife, sitting down and dropping her hands in her lap.",AC,dummy
"In the first place we shouldn't need a summer villa, and besides, it would always bring in an income.""",AC,dummy
"And pictures came crowding on his imagination, each more gracious and poetical than the last.",AC,dummy
"And in all these pictures he saw himself well-fed, serene, healthy, felt warm, even hot!",AC,dummy
"Here, after eating a summer soup, cold as ice, he lay on his back on the burning sand close to a stream or in the garden under a lime-tree....",AC,dummy
"It is hot.... His little boy and girl are crawling about near him, digging in the sand or catching ladybirds in the grass.",AC,dummy
"He dozes sweetly, thinking of nothing, and feeling all over that he need not go to the office today, tomorrow, or the day after.",AC,dummy
"Or, tired of lying still, he goes to the hayfield, or to the forest for mushrooms, or watches the peasants catching fish with a net.",AC,dummy
"When the sun sets he takes a towel and soap and saunters to the bathing-shed, where he undresses at his leisure, slowly rubs his bare chest with his hands, and goes into the water.",AC,dummy
"And in the water, near the opaque soapy circles, little fish flit to and fro and green water-weeds nod their heads.",AC,dummy
"""Yes, it would be nice to buy an estate,"" said his wife, also dreaming, and from her face it was evident that she was enchanted by her thoughts.",AC,dummy
"Ivan Dmitritch pictured to himself autumn with its rains, its cold evenings, and its St. Martin's summer.",AC,dummy
"At that season he would have to take longer walks about the garden and beside the river, so as to get thoroughly chilled, and then drink a big glass of vodka and eat a salted mushroom or a soused cucumber, and then—drink another....",AC,dummy
"The children would come running from the kitchen-garden, bringing a carrot and a radish smelling of fresh earth.... And then, he would lie stretched full length on the sofa, and in leisurely fashion turn over the pages of some illustrated magazine, or, covering his face with it and unbuttoning his waistcoat, give himself up to slumber.",AC,dummy
"The St. Martin's summer is followed by cloudy, gloomy weather.",AC,dummy
"It rains day and night, the bare trees weep, the wind is damp and cold.",AC,dummy
"The dogs, the horses, the fowls—all are wet, depressed, downcast.",AC,dummy
"There is nowhere to walk; one can't go out for days together; one has to pace up and down the room, looking despondently at the grey window.",AC,dummy
"""I should go abroad, you know, Masha,"" he said.",AC,dummy
"""I should certainly go abroad too,"" his wife said.",AC,dummy
"""Wait, wait!...""",AC,dummy
"It is pleasant to travel alone, or in the society of light, careless women who live in the present, and not such as think and talk all the journey about nothing but their children, sigh, and tremble with dismay over every farthing.",AC,dummy
"Ivan Dmitritch imagined his wife in the train with a multitude of parcels, baskets, and bags; she would be sighing over something, complaining that the train made her head ache, that she had spent so much money.... At the stations he would continually be having to run for boiling water, bread and butter.... She wouldn't have dinner because of its being too dear....  ""She would begrudge me every farthing,"" he thought, with a glance at his wife.",AC,dummy
"""The lottery ticket is hers, not mine!",AC,dummy
"Besides, what is the use of her going abroad?",AC,dummy
"She would shut herself up in the hotel, and not let me out of her sight....",AC,dummy
"And for the first time in his life his mind dwelt on the fact that his wife had grown elderly and plain, and that she was saturated through and through with the smell of cooking, while he was still young, fresh, and healthy, and might well have got married again.",AC,dummy
"""Of course, all that is silly nonsense,"" he thought; ""but... why should she go abroad?",AC,dummy
"And yet she would go, of course....",AC,dummy
"In reality it is all one to her, whether it is Naples or Klin.",AC,dummy
"I can fancy how, like a regular woman, she will lock the money up as soon as she gets it.... She will hide it from me.... She will look after her relations and grudge me every farthing.""",AC,dummy
"All those wretched brothers and sisters and aunts and uncles would come crawling about as soon as they heard of the winning ticket, would begin whining like beggars, and fawning upon them with oily, hypocritical smiles.",AC,dummy
"Wretched, detestable people!",AC,dummy
"If they were given anything, they would ask for more; while if they were refused, they would swear at them, slander them, and wish them every kind of misfortune.",AC,dummy
"Ivan Dmitritch remembered his own relations, and their faces, at which he had looked impartially in the past, struck him now as repulsive and hateful.",AC,dummy
"And his wife's face, too, struck him as repulsive and hateful.",AC,dummy
"Anger surged up in his heart against her, and he thought malignantly:  ""She knows nothing about money, and so she is stingy.",AC,dummy
"If she won it she would give me a hundred roubles, and put the rest away under lock and key.""",AC,dummy
"And he looked at his wife, not with a smile now, but with hatred.",AC,dummy
"She glanced at him too, and also with hatred and anger.",AC,dummy
"She had her own daydreams, her own plans, her own reflections; she understood perfectly well what her husband's dreams were.",AC,dummy
"""No, don't you dare!""",AC,dummy
"Her husband understood her look; hatred began stirring again in his breast, and in order to annoy his wife he glanced quickly, to spite her at the fourth page on the newspaper and read out triumphantly:  ""Series 9,499, number 46!",AC,dummy
"Hatred and hope both disappeared at once, and it began immediately to seem to Ivan Dmitritch and his wife that their rooms were dark and small and low-pitched, that the supper they had been eating was not doing them good, but lying heavy on their stomachs, that the evenings were long and wearisome....  ""What the devil's the meaning of it?""",AC,dummy
"said Ivan Dmitritch, beginning to be ill-humoured.",AC,dummy
"""Wherever one steps there are bits of paper under one's feet, crumbs, husks.",AC,dummy
"Nine-year-old Vanka Zhukov, who had been apprentice to the shoemaker Aliakhin for three months, did not go to bed the night before Christmas.",AC,dummy
"He waited till the master and mistress and the assistants had gone out to an early church-service, to procure from his employer's cupboard a small phial of ink and a penholder with a rusty nib; then, spreading a crumpled sheet of paper in front of him, he began to write.",AC,dummy
"Before, however, deciding to make the first letter, he looked furtively at the door and at the window, glanced several times at the sombre ikon, on either side of which stretched shelves full of lasts, and heaved a heart-rending sigh.",AC,dummy
"The sheet of paper was spread on a bench, and he himself was on his knees in front of it.",AC,dummy
"""Dear Grandfather Konstantin Makarych,"" he wrote, ""I am writing you a letter.",AC,dummy
"I have no mamma or papa, you are all I have.""",AC,dummy
"Vanka gave a look towards the window in which shone the reflection of his candle, and vividly pictured to himself his grandfather, Konstantin Makarych, who was night-watchman at Messrs. Zhivarev.",AC,dummy
"He was a small, lean, unusually lively and active old man of sixty-five, always smiling and blear-eyed.",AC,dummy
"At night, enveloped in an ample sheep-skin coat, he strayed round the domain tapping with his cudgel.",AC,dummy
"Behind him, each hanging its head, walked the old bitch Kashtanka, and the dog Viun, so named because of his black coat and long body and his resemblance to a loach.",AC,dummy
"Viun was an unusually civil and friendly dog, looking as kindly at a stranger as at his masters, but he was not to be trusted.",AC,dummy
"No one knew better than he how to sneak up and take a bite at a leg, or slip into the larder or steal a muzhik's chicken.",AC,dummy
"More than once they had nearly broken his hind-legs, twice he had been hung up, every week he was nearly flogged to death, but he always recovered.",AC,dummy
"At this moment, for certain, Vanka's grandfather must be standing at the gate, blinking his eyes at the bright red windows of the village church, stamping his feet in their high-felt boots, and jesting with the people in the yard; his cudgel will be hanging from his belt, he will be hugging himself with cold, giving a little dry, old man's cough, and at times pinching a servant-girl or a cook.",AC,dummy
"he asks, holding out his snuff-box to the women.",AC,dummy
"The women take a pinch of snuff, and sneeze.",AC,dummy
"The old man goes into indescribable ecstasies, breaks into loud laughter, and cries:  ""Off with it, it will freeze to your nose!""",AC,dummy
"He gives his snuff to the dogs, too.",AC,dummy
"Kashtanka sneezes, twitches her nose, and walks away offended.",AC,dummy
"It is glorious weather, not a breath of wind, clear, and frosty; it is a dark eight, but the whole village, its white roofs and streaks of smoke from the chimneys, the trees silvered with hoar-frost, and the snowdrifts, you can see it all.",AC,dummy
"The sky scintillates with bright twinkling stars, and the Milky Way stands out so clearly that it looks as if it had been polished and rubbed over with snow for the holidays…  Vanka sighs, dips his pen in the ink, and continues to write:  ""Last night I got a thrashing, my master dragged me by my hair into the yard, and belaboured me with a shoe-maker's stirrup, because, while I was rocking his brat in its cradle, I unfortunately fell asleep.",AC,dummy
"And during the week, my mistress told me to clean a herring, and I began by its tail, so she took the herring and stuck its snout into my face.",AC,dummy
"The assistants tease me, send me to the tavern for vodka, make me steal the master's cucumbers, and the master beats me with whatever is handy.",AC,dummy
"Food there is none; in the morning it's bread, at dinner gruel, and in the evening bread again.",AC,dummy
"As for tea or sour-cabbage soup, the master and the mistress themselves guzzle that.",AC,dummy
"They make me sleep in the vestibule, and when their brat cries, I don't sleep at all, but have to rock the cradle.",AC,dummy
"Dear Grandpapa, for Heaven's sake, take me away from here, home to our village, I can't bear this any more… I bow to the ground to you, and will pray to God for ever and ever, take me from here or I shall die…""  The corners of Vanka's mouth went down, he rubbed his eyes with his dirty fist, and sobbed.",AC,dummy
"""I'll grate your tobacco for you,"" he continued, ""I'll pray to God for you, and if there is anything wrong, then flog me like the grey goat.",AC,dummy
"And if you really think I shan't find work, then I'll ask the manager, for Christ's sake, to let me clean the boots, or I'll go instead of Fedya as underherdsman.",AC,dummy
"Dear Grandpapa, I can't bear this any more, it'll kill me… I wanted to run away to our village, but I have no boots, and I was afraid of the frost, and when I grow up I'll look after you, no one shall harm you, and when you die I'll pray for the repose of your soul, just like I do for mamma Pelagueya.",AC,dummy
"""As for Moscow, it is a large town, there are all gentlemen's houses, lots of horses, no sheep, and the dogs are not vicious.",AC,dummy
"The children don't come round at Christmas with a star, no one is allowed to sing in the choir, and once I saw in a shop window hooks on a line and fishing rods, all for sale, and for every kind of fish, awfully convenient.",AC,dummy
"And there are shops with guns, like the master's, and I am sure they must cost 100 rubles each.",AC,dummy
"And in the meat-shops there are woodcocks, partridges, and hares, but who shot them or where they come from, the shopman won't say.",AC,dummy
"""Dear Grandpapa, and when the masters give a Christmas tree, take a golden walnut and hide it in my green box.",AC,dummy
"Ask the young lady, Olga Ignatyevna, for it, say it's for Vanka.""",AC,dummy
"Vanka sighed convulsively, and again stared at the window.",AC,dummy
"He remembered that his grandfather always went to the forest for the Christmas tree, and took his grandson with him.",AC,dummy
"The frost crackled, his grandfather crackled, and as they both did, Vanka did the same.",AC,dummy
"Then before cutting down the Christmas tree his grandfather smoked his pipe, took a long pinch of snuff, and made fun of poor frozen little Vanka… The young fir trees, wrapt in hoar-frost, stood motionless, waiting for which of them would die.",AC,dummy
"Suddenly a hare springing from somewhere would dart over the snowdrift… His grandfather could not help shouting:  ""Catch it, catch it, catch it!",AC,dummy
"Ah, short-tailed devil!""",AC,dummy
"When the tree was down, his grandfather dragged it to the master's house, and there they set about decorating it.",AC,dummy
"The young lady, Olga Ignatyevna, Vanka's great friend, busied herself most about it.",AC,dummy
"When little Vanka's mother, Pelagueya, was still alive, and was servant-woman in the house, Olga Ignatyevna used to stuff him with sugar-candy, and, having nothing to do, taught him to read, write, count up to one hundred, and even to dance the quadrille.",AC,dummy
"When Pelagueya died, they placed the orphan Vanka in the kitchen with his grandfather, and from the kitchen he was sent to Moscow to Aliakhin, the shoemaker.",AC,dummy
"""Come quick, dear Grandpapa,"" continued Vanka, ""I beseech you for Christ's sake take me from here.",AC,dummy
"Have pity on a poor orphan, for here they beat me, and I am frightfully hungry, and so sad that I can't tell you, I cry all the time.",AC,dummy
"The other day the master hit me on the head with a last; I fell to the ground, and only just returned to life.",AC,dummy
"My life is a misfortune, worse than any dog's… I send greetings to Aliona, to one-eyed Tegor, and the coachman, and don't let any one have my mouth-organ.",AC,dummy
"I remain, your grandson, Ivan Zhukov, dear Grandpapa, do come.""",AC,dummy
"Vanka folded his sheet of paper in four, and put it into an envelope purchased the night before for a kopek.",AC,dummy
"He thought a little, dipped the pen into the ink, and wrote the address:  ""The village, to my grandfather.""",AC,dummy
"He then scratched his head, thought again, and added: ""Konstantin Makarych.""",AC,dummy
"Pleased at not having been interfered with in his writing, he put on his cap, and, without putting on his sheep-skin coat, ran out in his shirt-sleeves into the street.",AC,dummy
"The shopman at the poulterer's, from whom he had inquired the night before, had told him that letters were to be put into post-boxes, and from there they were conveyed over the whole earth in mail troikas by drunken post-boys and to the sound of bells.",AC,dummy
"An hour afterwards, lulled by hope, he was sleeping soundly.",AC,dummy
"In his dreams he saw a stove, by the stove his grandfather sitting with his legs dangling down, barefooted, and reading a letter to the cooks, and Viun walking round the stove wagging his tail.",AC,dummy
"OLENKA, the daughter of the retired collegiate assessor, Plemyanniakov, was sitting in her back porch, lost in thought.",AC,dummy
"It was hot, the flies were persistent and teasing, and it was pleasant to reflect that it would soon be evening.",AC,dummy
"Dark rainclouds were gathering from the east, and bringing from time to time a breath of moisture in the air.",AC,dummy
"Kukin, who was the manager of an open-air theatre called the Tivoli, and who lived in the lodge, was standing in the middle of the garden looking at the sky.",AC,dummy
"Rain every day, as though to spite me.",AC,dummy
"He flung up his hands, and went on, addressing Olenka:  ""There!",AC,dummy
"that's the life we lead, Olga Semyonovna.",AC,dummy
"One works and does one's utmost, one wears oneself out, getting no sleep at night, and racks one's brain what to do for the best.",AC,dummy
"To begin with, one's public is ignorant, boorish.",AC,dummy
"I give them the very best operetta, a dainty masque, first rate music-hall artists.",AC,dummy
"It started on the tenth of May, and it's kept it up all May and June.",AC,dummy
"The public doesn't come, but I've to pay the rent just the same, and pay the artists.""",AC,dummy
"The next evening the clouds would gather again, and Kukin would say with an hysterical laugh:  ""Well, rain away, then!",AC,dummy
"Flood the garden, drown me!",AC,dummy
"Ha, ha, ha!""",AC,dummy
"Olenka listened to Kukin with silent gravity, and sometimes tears came into her eyes.",AC,dummy
"He was a small thin man, with a yellow face, and curls combed forward on his forehead.",AC,dummy
"He spoke in a thin tenor; as he talked his mouth worked on one side, and there was always an expression of despair on his face; yet he aroused a deep and genuine affection in her.",AC,dummy
"She was always fond of some one, and could not exist without loving.",AC,dummy
